,embed_dim,num_heads,ff_dim,num_layers,batch_size,test_partition
265,64.0,4.0,32.0,4.0,64.0,0.0
266,64.0,4.0,32.0,4.0,64.0,1.0
267,64.0,4.0,32.0,4.0,64.0,2.0
268,64.0,4.0,32.0,4.0,64.0,3.0
269,64.0,4.0,32.0,4.0,64.0,4.0
270,64.0,4.0,64.0,1.0,32.0,0.0
271,64.0,4.0,64.0,1.0,32.0,1.0
272,64.0,4.0,64.0,1.0,32.0,2.0
273,64.0,4.0,64.0,1.0,32.0,3.0
274,64.0,4.0,64.0,1.0,32.0,4.0
275,64.0,4.0,64.0,1.0,64.0,0.0
276,64.0,4.0,64.0,1.0,64.0,1.0
277,64.0,4.0,64.0,1.0,64.0,2.0
278,64.0,4.0,64.0,1.0,64.0,3.0
279,64.0,4.0,64.0,1.0,64.0,4.0
280,64.0,4.0,64.0,2.0,32.0,0.0
281,64.0,4.0,64.0,2.0,32.0,1.0
282,64.0,4.0,64.0,2.0,32.0,2.0
283,64.0,4.0,64.0,2.0,32.0,3.0
284,64.0,4.0,64.0,2.0,32.0,4.0
285,64.0,4.0,64.0,2.0,64.0,0.0
286,64.0,4.0,64.0,2.0,64.0,1.0
287,64.0,4.0,64.0,2.0,64.0,2.0
288,64.0,4.0,64.0,2.0,64.0,3.0
289,64.0,4.0,64.0,2.0,64.0,4.0
290,64.0,4.0,64.0,4.0,32.0,0.0
291,64.0,4.0,64.0,4.0,32.0,1.0
292,64.0,4.0,64.0,4.0,32.0,2.0
293,64.0,4.0,64.0,4.0,32.0,3.0
294,64.0,4.0,64.0,4.0,32.0,4.0
295,64.0,4.0,64.0,4.0,64.0,0.0
296,64.0,4.0,64.0,4.0,64.0,1.0
297,64.0,4.0,64.0,4.0,64.0,2.0
298,64.0,4.0,64.0,4.0,64.0,3.0
299,64.0,4.0,64.0,4.0,64.0,4.0
300,64.0,8.0,32.0,1.0,32.0,0.0
301,64.0,8.0,32.0,1.0,32.0,1.0
302,64.0,8.0,32.0,1.0,32.0,2.0
303,64.0,8.0,32.0,1.0,32.0,3.0
304,64.0,8.0,32.0,1.0,32.0,4.0
305,64.0,8.0,32.0,1.0,64.0,0.0
306,64.0,8.0,32.0,1.0,64.0,1.0
307,64.0,8.0,32.0,1.0,64.0,2.0
308,64.0,8.0,32.0,1.0,64.0,3.0
309,64.0,8.0,32.0,1.0,64.0,4.0
310,64.0,8.0,32.0,2.0,32.0,0.0
311,64.0,8.0,32.0,2.0,32.0,1.0
312,64.0,8.0,32.0,2.0,32.0,2.0
313,64.0,8.0,32.0,2.0,32.0,3.0
314,64.0,8.0,32.0,2.0,32.0,4.0
315,64.0,8.0,32.0,2.0,64.0,0.0
316,64.0,8.0,32.0,2.0,64.0,1.0
317,64.0,8.0,32.0,2.0,64.0,2.0
318,64.0,8.0,32.0,2.0,64.0,3.0
319,64.0,8.0,32.0,2.0,64.0,4.0
